Accession	Protein	Gene	Gene_protein	X152328_BSA_d1_A	X152328_IL13_d1_A	X153087_BSA_d1_A	X153087_IL13_d1_A	X153173_BSA_d2_H	X153173_IL13_d2_H	X153724_BSA_d1_A	X153724_IL13_d1_A	X153741_BSA_d2_H	X153741_IL13_d2_H	X153870_BSA_d1_H	X153870_IL13_d1_H	X154142_BSA_d2_A	X154142_IL13_d2_A	X154417_BSA_d2_A	X154417_IL13_d2_A	X154566_BSA_d1_A	X154566_IL13_d1_A	X154651_BSA_d2_A	X154651_IL13_d2_A	X154711_BSA_d1_A	X154711_IL13_d1_A	X154717_BSA_d1_A	X154717_IL13_d1_A	X154783_BSA_d1_A	X154783_IL13_d1_A	X155404_BSA_d2_H	X155404_IL13_d2_H
ACTG_HUMAN	"Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1"	ACTG1	ACTG1_ACTG	33	0	28	30	0	0	21	0	0	0	0	9	0	0	0	0	0	22	0	0	28	17	22	0	0	0	0	0
ACTH_HUMAN	"Actin, gamma-enteric smooth muscle OS=Homo sapiens GN=ACTG2 PE=1 SV=1"	ACTG2	ACTG2_ACTH	0	0	17	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1_HUMAN	Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2	ACTN1	ACTN1_ACTN1	9	7	0	0	0	0	0	0	0	5	8	0	0	0	9	12	0	9	8	0	0	0	0	0	8	0	0	0
ACTN4_HUMAN	Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2	ACTN4	ACTN4_ACTN4	18	14	12	15	8	13	7	11	5	11	20	0	11	13	21	20	12	20	16	12	16	5	11	9	10	10	9	12
ACTY_HUMAN	Beta-centractin OS=Homo sapiens GN=ACTR1B PE=1 SV=1	ACTR1B	ACTR1B_ACTY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARP2_HUMAN	Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1	ACTR2	ACTR2_ARP2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ARP3_HUMAN	Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3	ACTR3	ACTR3_ARP3	5	5	3	1	0	0	2	0	0	0	3	2	0	0	0	4	0	4	0	2	0	4	0	3	0	0	0	0
ARP3B_HUMAN	Actin-related protein 3B OS=Homo sapiens GN=ACTR3B PE=2 SV=1	ACTR3B	ACTR3B_ARP3B	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADH1A_HUMAN	Alcohol dehydrogenase 1A OS=Homo sapiens GN=ADH1A PE=1 SV=2	ADH1A	ADH1A_ADH1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADH1G_HUMAN	Alcohol dehydrogenase 1C OS=Homo sapiens GN=ADH1C PE=1 SV=2	ADH1C	ADH1C_ADH1G	2	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADH7_HUMAN	Alcohol dehydrogenase class 4 mu/sigma chain OS=Homo sapiens GN=ADH7 PE=1 SV=2	ADH7	ADH7_ADH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0
AGR2_HUMAN	Anterior gradient protein 2 homolog OS=Homo sapiens GN=AGR2 PE=1 SV=1	AGR2	AGR2_AGR2	5	6	6	5	2	6	8	4	2	5	9	3	3	8	5	8	3	4	3	9	5	4	0	5	0	0	6	9
AGR3_HUMAN	Anterior gradient protein 3 OS=Homo sapiens GN=AGR3 PE=1 SV=1	AGR3	AGR3_AGR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0
AGRIN_HUMAN	Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5	AGRN	AGRN_AGRIN	4	5	1	0	1	4	0	0	0	7	6	0	0	3	6	11	4	3	1	4	2	0	2	3	5	3	0	1
SAHH_HUMAN	Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	AHCY	AHCY_SAHH	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0
AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	AHNAK	AHNAK_AHNK	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AHSA1_HUMAN	Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1	AHSA1	AHSA1_AHSA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AIFM1_HUMAN	"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1"	AIFM1	AIFM1_AIFM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
KAD1_HUMAN	Adenylate kinase isoenzyme 1 OS=Homo sapiens GN=AK1 PE=1 SV=3	AK1	AK1_KAD1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	3	0	0	3	1	0	0	0	0	0	0	0	0
KAD2_HUMAN	"Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 PE=1 SV=2"	AK2	AK2_KAD2	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	2	0	0	1	1	2	3	0	0	0	0	0	1
KAD3_HUMAN	"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens GN=AK3 PE=1 SV=4"	AK3	AK3_KAD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AK1A1_HUMAN	Alcohol dehydrogenase [NADP(+)] OS=Homo sapiens GN=AKR1A1 PE=1 SV=3	AKR1A1	AKR1A1_AK1A1	4	3	2	3	3	0	0	1	0	1	1	0	0	2	4	4	2	4	2	2	2	3	4	5	0	0	0	2
AK1BA_HUMAN	Aldo-keto reductase family 1 member B10 OS=Homo sapiens GN=AKR1B10 PE=1 SV=2	AKR1B10	AKR1B10_AK1BA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
AK1C1_HUMAN	Aldo-keto reductase family 1 member C1 OS=Homo sapiens GN=AKR1C1 PE=1 SV=1	AKR1C1	AKR1C1_AK1C1	2	0	0	0	0	0	0	0	0	0	4	0	0	1	2	2	0	0	1	1	0	0	0	0	0	0	0	1
AK1C2_HUMAN	Aldo-keto reductase family 1 member C2 OS=Homo sapiens GN=AKR1C2 PE=1 SV=3	AKR1C2	AKR1C2_AK1C2	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
ALBU_HUMAN	Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	ALB_ALBU	5	5	5	5	6	8	3	5	6	8	5	0	6	9	5	6	6	6	6	6	4	3	6	3	5	4	6	5
CD166_HUMAN	CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2	ALCAM	ALCAM_CD166	0	0	0	0	1	0	0	0	0	0	0	0	1	0	5	2	0	0	0	2	0	0	0	2	0	0	0	0
AL1A1_HUMAN	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	ALDH1A1	ALDH1A1_AL1A1	12	12	10	11	9	9	8	7	8	11	13	0	6	8	13	19	9	15	14	9	16	9	13	13	0	6	10	14
AL1A2_HUMAN	Retinal dehydrogenase 2 OS=Homo sapiens GN=ALDH1A2 PE=1 SV=3	ALDH1A2	ALDH1A2_AL1A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AL1A3_HUMAN	Aldehyde dehydrogenase family 1 member A3 OS=Homo sapiens GN=ALDH1A3 PE=1 SV=2	ALDH1A3	ALDH1A3_AL1A3	5	4	0	2	0	1	4	0	0	1	0	0	0	0	0	4	2	4	0	0	0	0	0	1	6	6	0	0
AL1L1_HUMAN	Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Homo sapiens GN=ALDH1L1 PE=1 SV=2	ALDH1L1	ALDH1L1_AL1L1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH2_HUMAN	"Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH2 PE=1 SV=2"	ALDH2	ALDH2_ALDH2	0	2	0	0	0	0	4	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL3A1_HUMAN	"Aldehyde dehydrogenase, dimeric NADP-preferring OS=Homo sapiens GN=ALDH3A1 PE=1 SV=3"	ALDH3A1	ALDH3A1_AL3A1	0	0	7	0	7	0	0	0	0	0	0	1	0	0	6	0	2	0	2	1	8	3	4	0	0	0	0	0
AL3B1_HUMAN	Aldehyde dehydrogenase family 3 member B1 OS=Homo sapiens GN=ALDH3B1 PE=1 SV=1	ALDH3B1	ALDH3B1_AL3B1	5	0	7	0	2	0	2	0	1	0	4	0	2	0	5	0	4	0	3	0	6	0	7	0	0	0	2	0
AL9A1_HUMAN	4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3	ALDH9A1	ALDH9A1_AL9A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDOA_HUMAN	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	ALDOA	ALDOA_ALDOA	12	15	19	17	10	6	13	12	11	9	21	4	13	8	18	14	14	17	15	10	18	11	17	15	10	6	11	11
ALDOC_HUMAN	Fructose-bisphosphate aldolase C OS=Homo sapiens GN=ALDOC PE=1 SV=2	ALDOC	ALDOC_ALDOC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
LOX15_HUMAN	Arachidonate 15-lipoxygenase OS=Homo sapiens GN=ALOX15 PE=1 SV=3	ALOX15	ALOX15_LOX15	5	20	6	23	4	16	6	15	0	13	5	5	1	19	4	27	4	20	4	21	5	13	2	22	0	18	0	22
PPBT_HUMAN	"Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens GN=ALPL PE=1 SV=4"	ALPL	ALPL_PPBT	0	4	2	7	1	3	0	2	2	6	0	1	0	3	1	6	0	5	6	7	0	2	0	4	0	1	1	4
AMY1_HUMAN	Alpha-amylase 1 OS=Homo sapiens GN=AMY1A PE=1 SV=2	AMY1A	AMY1A_AMY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AMYP_HUMAN	Pancreatic alpha-amylase OS=Homo sapiens GN=AMY2A PE=1 SV=2	AMY2A	AMY2A_AMYP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKL2_HUMAN	Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens GN=ANKLE2 PE=1 SV=4	ANKLE2	ANKLE2_ANKL2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN32A_HUMAN	Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1	ANP32A	ANP32A_AN32A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AMPN_HUMAN	Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4	ANPEP	ANPEP_AMPN	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0
ANXA1_HUMAN	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	ANXA1	ANXA1_ANXA1	14	14	15	17	18	14	12	10	11	16	21	2	13	13	17	21	14	19	16	15	18	10	18	15	6	11	12	17
ANX11_HUMAN	Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1	ANXA11	ANXA11_ANX11	2	1	3	3	0	1	3	0	0	0	2	0	0	0	3	3	3	0	2	0	4	0	5	0	0	1	0	0
ANXA2_HUMAN	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	ANXA2	ANXA2_ANXA2	25	22	23	20	21	15	23	15	15	21	26	4	22	18	29	26	24	21	22	20	26	11	21	18	9	18	20	19
ANXA3_HUMAN	Annexin A3 OS=Homo sapiens GN=ANXA3 PE=1 SV=3	ANXA3	ANXA3_ANXA3	4	5	5	6	4	4	0	2	1	5	6	0	5	3	9	7	3	6	5	5	3	0	4	3	3	2	1	2
ANXA4_HUMAN	Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4	ANXA4	ANXA4_ANXA4	2	2	2	2	2	3	2	2	3	3	6	0	1	2	6	9	2	4	5	3	4	0	5	3	0	3	0	1
ANXA5_HUMAN	Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2	ANXA5	ANXA5_ANXA5	8	11	6	7	5	4	8	6	5	7	12	2	6	9	9	9	4	10	7	7	8	3	3	6	3	6	4	2
ANXA7_HUMAN	Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3	ANXA7	ANXA7_ANXA7	0	0	2	0	1	0	1	0	1	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1
ANXA8_HUMAN	Annexin A8 OS=Homo sapiens GN=ANXA8 PE=1 SV=3	ANXA8	ANXA8_ANXA8	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0
AXA81_HUMAN	Annexin A8-like protein 1 OS=Homo sapiens GN=ANXA8L1 PE=2 SV=2	ANXA8L1	ANXA8L1_AXA81	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP2B1_HUMAN	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	AP2B1	AP2B1_AP2B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
APAF_HUMAN	Apoptotic protease-activating factor 1 OS=Homo sapiens GN=APAF1 PE=1 SV=2	APAF1	APAF1_APAF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APEX1_HUMAN	DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2	APEX1	APEX1_APEX1	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0
A4_HUMAN	Amyloid beta A4 protein OS=Homo sapiens GN=APP PE=1 SV=3	APP	APP_A4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A4_HUMAN	Amyloid-beta A4 protein OS=Homo sapiens GN=APP PE=1 SV=3	APP	APP_A4_2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AQP5_HUMAN	Aquaporin-5 OS=Homo sapiens GN=AQP5 PE=1 SV=1	AQP5	AQP5_AQP5	1	0	1	0	1	0	0	0	1	0	0	0	1	0	2	1	0	0	2	0	0	0	0	0	0	0	1	0
COPD_HUMAN	Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1	ARCN1	ARCN1_COPD	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ARF1_HUMAN	ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2	ARF1	ARF1_ARF1	0	0	0	0	2	0	0	0	0	1	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
ARF3_HUMAN	ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2	ARF3	ARF3_ARF3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	1	0	2	0	0	0	0
ARF4_HUMAN	ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3	ARF4	ARF4_ARF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
RHG18_HUMAN	Rho GTPase-activating protein 18 OS=Homo sapiens GN=ARHGAP18 PE=1 SV=3	ARHGAP18	ARHGAP18_RHG18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0
GDIR1_HUMAN	Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=1 SV=3	ARHGDIA	ARHGDIA_GDIR1	1	2	0	1	0	1	0	0	0	2	2	0	1	1	2	1	0	2	1	1	1	0	0	1	0	0	0	1
ARHGB_HUMAN	Rho guanine nucleotide exchange factor 11 OS=Homo sapiens GN=ARHGEF11 PE=1 SV=1	ARHGEF11	ARHGEF11_ARHGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ARC1B_HUMAN	Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3	ARPC1B	ARPC1B_ARC1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ARPC3_HUMAN	Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3	ARPC3	ARPC3_ARPC3	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
ARPC4_HUMAN	Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3	ARPC4	ARPC4_ARPC4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	1	0	0	0
ASAH1_HUMAN	Acid ceramidase OS=Homo sapiens GN=ASAH1 PE=1 SV=5	ASAH1	ASAH1_ASAH1	4	2	0	0	1	0	1	0	4	2	2	0	0	2	2	1	3	5	5	1	2	0	1	0	2	2	3	1
ASPH_HUMAN	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3	ASPH	ASPH_ASPH	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASSY_HUMAN	Argininosuccinate synthase OS=Homo sapiens GN=ASS1 PE=1 SV=2	ASS1	ASS1_ASSY	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
PUR9_HUMAN	Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3	ATIC	ATIC_PUR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AT12A_HUMAN	Potassium-transporting ATPase alpha chain 2 OS=Homo sapiens GN=ATP12A PE=1 SV=3	ATP12A	ATP12A_AT12A	0	0	2	1	0	2	0	0	1	1	1	0	0	0	4	4	0	3	3	0	2	1	3	1	0	0	0	1
AT1A1_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1	ATP1A1	ATP1A1_AT1A1	2	0	0	3	0	0	3	0	0	1	0	0	0	0	2	2	0	0	0	3	2	0	0	0	0	0	0	1
AT1A3_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens GN=ATP1A3 PE=1 SV=3	ATP1A3	ATP1A3_AT1A3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AT1B1_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens GN=ATP1B1 PE=1 SV=1	ATP1B1	ATP1B1_AT1B1	0	1	0	1	0	1	0	0	0	0	2	0	0	1	1	2	0	0	1	1	0	0	1	0	0	1	1	1
ATPA_HUMAN	"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1"	ATP5A1	ATP5A1_ATPA	0	1	4	2	1	0	7	0	0	0	6	0	1	1	4	6	0	1	0	3	3	0	0	1	0	0	1	3
ATPB_HUMAN	"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3"	ATP5B	ATP5B_ATPB	3	3	7	8	2	2	6	2	0	1	9	2	0	1	1	4	0	2	0	2	7	3	0	4	0	1	2	3
ATPG_HUMAN	"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1"	ATP5C1	ATP5C1_ATPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATP5H_HUMAN	"ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3"	ATP5H	ATP5H_ATP5H	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ATPO_HUMAN	"ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1"	ATP5O	ATP5O_ATPO	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
VATA_HUMAN	V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2	ATP6V1A	ATP6V1A_VATA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
VATG1_HUMAN	V-type proton ATPase subunit G 1 OS=Homo sapiens GN=ATP6V1G1 PE=1 SV=3	ATP6V1G1	ATP6V1G1_VATG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1
ATIF1_HUMAN	"ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1"	ATPIF1	ATPIF1_ATIF1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
B2MG_HUMAN	Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1	B2M	B2M_B2MG	3	0	3	3	2	3	3	2	2	2	3	2	2	3	0	2	0	1	2	2	0	1	1	1	0	0	1	1
B4GT1_HUMAN	"Beta-1,4-galactosyltransferase 1 OS=Homo sapiens GN=B4GALT1 PE=1 SV=5"	B4GALT1	B4GALT1_B4GT1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	2	0	0	2	0	1	0	0	0	0	0	1	0
